note (there was some time gap)
0 0 09:39:22.484463 track 250 208
1 1 09:39:22.672355 track 246 208
2 2 09:39:22.794079 track 242 208
3 3 09:39:22.916866 track 239 208
4 4 09:39:23.057406 track 236 209
5 5 09:39:23.193908 track 211 211
6 6 09:39:23.332906 track 199 211
7 0 09:39:23.897416 feed left
8 7 09:39:24.026221 track 191 211
9 8 09:39:24.169979 track 177 212
10 9 09:39:24.331225 track 165 212
11 10 09:39:24.492778 track 153 211
12 11 09:39:24.630628 track 95 216
13 12 09:39:24.768256 track 82 219
14 13 09:39:24.928850 track 72 221
15 14 09:39:25.090333 track 63 224
16 15 09:39:25.308613 track 53 225
17 16 09:39:25.491519 track 45 225
18 17 09:39:25.651760 track 42 225
19 18 09:39:25.790891 track 39 225
20 19 09:39:25.910924 track 37 225
21 20 09:39:26.048038 track 36 225
22 21 09:39:26.229379 track 37 225
23 22 09:39:26.399195 track 40 226
24 23 09:39:26.592535 track 39 227
25 24 09:39:26.764926 track 37 228
26 25 09:39:26.910174 track 36 230
27 26 09:39:27.053540 track 35 232
28 27 09:39:27.214627 track 34 233
29 28 09:39:27.352449 track 34 236
30 29 09:39:27.519611 track 35 240
31 30 09:39:27.662808 track 37 242
32 31 09:39:27.821677 track 39 245
33 32 09:39:27.981120 track 41 246
34 33 09:39:28.141227 track 43 247
35 34 09:39:28.279027 track 46 248
36 35 09:39:28.416367 track 48 248
37 36 09:39:28.553103 track 47 243
38 37 09:39:28.693854 track 50 247
39 38 09:39:28.836215 track 51 247
40 39 09:39:29.006480 track 53 247
41 40 09:39:29.150367 track 46 240
42 41 09:39:29.318976 track 52 245
43 42 09:39:29.510525 track 51 246
44 43 09:39:29.701141 track 53 247
45 44 09:39:29.862622 track 57 248
46 45 09:39:30.045811 track 60 249
47 46 09:39:30.183377 track 57 248
48 47 09:39:30.343274 track 73 255
49 48 09:39:30.480910 track 84 255
50 49 09:39:30.618288 track 92 256
51 50 09:39:30.778062 track 106 254
52 51 09:39:30.915817 track 116 253
53 52 09:39:31.053308 track 128 252
54 53 09:39:31.212688 track 136 253
55 54 09:39:31.350542 track 148 252
56 55 09:39:31.487546 track 158 253
57 56 09:39:31.624986 track 169 255
58 57 09:39:31.762557 track 181 255
59 58 09:39:31.921665 track 194 256
60 59 09:39:32.059796 track 205 254
61 60 09:39:32.196663 track 220 253
62 61 09:39:32.334102 track 234 252
63 62 09:39:32.471602 track 248 250
64 63 09:39:32.608508 track 264 249
65 64 09:39:32.745973 track 275 247
66 65 09:39:32.883622 track 290 243
67 66 09:39:33.020675 track 305 242
68 67 09:39:33.158057 track 319 239
69 68 09:39:33.295908 track 334 238
70 69 09:39:33.433236 track 354 238
71 70 09:39:33.570652 track 365 238
72 71 09:39:33.708345 track 380 238
73 72 09:39:33.845489 track 398 237
74 73 09:39:33.983148 track 411 237
75 0 09:39:34.542883 feed right
76 74 09:39:34.708659 track 424 237
77 75 09:39:34.868220 track 436 237
78 76 09:39:35.028483 track 448 238
79 77 09:39:35.166223 track 460 239
80 78 09:39:35.326172 track 512 240
81 79 09:39:35.508931 track 527 240
82 80 09:39:35.669480 track 536 238
83 81 09:39:35.806933 track 540 237
84 82 09:39:35.967083 track 548 236
85 83 09:39:36.150425 track 556 233
86 84 09:39:36.310599 track 561 232
87 85 09:39:36.448584 track 554 232
88 86 09:39:36.586769 track 560 231
89 87 09:39:36.724261 track 558 230
90 88 09:39:36.862256 track 556 229
91 89 09:39:37.021824 track 555 229
92 90 09:39:37.182067 track 559 224
93 91 09:39:37.365136 track 559 223
94 92 09:39:37.525806 track 560 220
95 93 09:39:37.663322 track 562 218
96 94 09:39:37.800777 track 558 221
97 95 09:39:37.938499 track 558 222
98 96 09:39:38.076106 track 557 222
99 97 09:39:38.235844 track 556 221
100 98 09:39:38.373461 track 555 222
101 99 09:39:38.510611 track 554 219
102 100 09:39:38.648067 track 554 217
103 101 09:39:38.785233 track 555 217
104 102 09:39:38.922646 track 554 217
105 103 09:39:39.060298 track 554 219
106 104 09:39:39.197493 track 552 218
107 105 09:39:39.334940 track 552 223
108 106 09:39:39.495020 track 550 227
109 107 09:39:39.632938 track 548 225
110 108 09:39:39.770591 track 548 225
111 109 09:39:39.907785 track 548 229
112 110 09:39:40.045325 track 549 229
113 111 09:39:40.183096 track 548 229
114 112 09:39:40.320512 track 546 226
115 113 09:39:40.458191 track 546 225
116 114 09:39:40.618196 track 545 225
117 115 09:39:40.756123 track 545 225
118 116 09:39:40.893748 track 545 225
119 117 09:39:41.053006 track 546 226
120 118 09:39:41.191226 track 545 225
121 119 09:39:41.328512 track 547 226
122 120 09:39:41.466073 track 544 225
123 121 09:39:41.603547 track 544 224
124 122 09:39:41.786019 track 543 224
125 123 09:39:41.923840 track 542 224
126 124 09:39:42.061349 track 543 224
127 125 09:39:42.198994 track 547 225
128 126 09:39:42.381845 track 547 225
129 127 09:39:42.519485 track 542 223
130 128 09:39:42.657247 track 542 223
131 129 09:39:42.795009 track 545 223
132 130 09:39:42.932036 track 546 223
133 131 09:39:43.069475 track 548 222
134 132 09:39:43.207255 track 548 221
135 133 09:39:43.344564 track 548 220
136 134 09:39:43.482110 track 546 221
137 135 09:39:43.619807 track 546 220
138 136 09:39:43.779671 track 549 218
139 137 09:39:43.917728 track 546 219
140 138 09:39:44.055314 track 546 219
141 139 09:39:44.192880 track 545 219
142 140 09:39:44.330392 track 547 218
143 141 09:39:44.467678 track 546 216
144 142 09:39:44.627909 track 548 215
145 143 09:39:44.765320 track 547 216
146 144 09:39:44.903182 track 548 217
147 145 09:39:45.040756 track 548 216
148 146 09:39:45.178031 track 549 215
149 147 09:39:45.338274 track 550 216
150 148 09:39:45.476052 track 548 217
151 149 09:39:45.613911 track 548 218
152 150 09:39:45.751417 track 548 217
153 151 09:39:45.888743 track 546 219
154 152 09:39:46.026570 track 548 219
155 153 09:39:46.163984 track 548 219
156 154 09:39:46.301289 track 547 220
157 155 09:39:46.438901 track 545 221
158 156 09:39:46.598783 track 546 221
159 157 09:39:46.736906 track 547 221
160 158 09:39:46.874799 track 546 221
161 159 09:39:47.011921 track 546 222
162 160 09:39:47.149890 track 546 223
163 161 09:39:47.287541 track 545 222
164 162 09:39:47.424796 track 544 222
165 163 09:39:47.584971 track 543 223
166 164 09:39:47.722691 track 542 222
167 165 09:39:47.882509 track 541 222
168 166 09:39:48.042414 track 539 219
169 167 09:39:48.202510 track 539 220
170 168 09:39:48.385775 track 538 220
171 169 09:39:48.568670 track 540 223
172 170 09:39:48.730034 track 545 228
173 171 09:39:48.890069 track 544 229
174 172 09:39:49.050073 track 542 229
175 173 09:39:49.232716 track 541 229
176 174 09:39:49.393477 track 543 232
177 175 09:39:49.553669 track 545 234
178 176 09:39:49.691874 track 543 234
179 177 09:39:49.851847 track 543 234
180 178 09:39:50.011844 track 540 233
181 179 09:39:50.149553 track 540 234
182 180 09:39:50.309658 track 541 235
183 181 09:39:50.470440 track 541 235
184 182 09:39:50.608073 track 541 234
185 183 09:39:50.768417 track 541 233
186 184 09:39:50.905987 track 541 233
187 185 09:39:51.043598 track 540 232
188 186 09:39:51.181272 track 540 231
189 187 09:39:51.318211 track 539 231
190 188 09:39:51.455953 track 543 228
191 189 09:39:51.593924 track 544 228
192 190 09:39:51.731188 track 548 228
193 191 09:39:51.868575 track 551 227
194 192 09:39:52.006369 track 547 227
195 193 09:39:52.143262 track 548 225
196 194 09:39:52.280578 track 549 225
197 195 09:39:52.418265 track 549 225
198 196 09:39:52.555886 track 552 225
199 197 09:39:52.738775 track 549 225
200 198 09:39:52.921909 track 551 224
201 199 09:39:53.059625 track 556 227
202 200 09:39:53.220189 track 559 229
203 201 09:39:53.357944 track 556 227
204 202 09:39:53.495987 track 558 230
205 203 09:39:53.655473 track 560 232
206 204 09:39:53.883683 track 561 232
207 205 09:39:54.066758 track 562 235
208 206 09:39:54.272496 track 561 237
209 207 09:39:54.410702 track 560 239
210 208 09:39:54.570346 track 558 242
211 209 09:39:54.708276 track 558 239
212 210 09:39:54.845595 track 557 242
213 211 09:39:54.983026 track 554 248
214 212 09:39:55.120623 track 556 247
215 213 09:39:55.257645 track 557 247
216 214 09:39:55.395121 track 559 245
217 215 09:39:55.532833 track 560 244
218 216 09:39:55.692287 track 560 244
219 217 09:39:55.830309 track 559 244
220 218 09:39:55.967499 track 555 242
221 219 09:39:56.105158 track 553 244
222 220 09:39:56.242779 track 551 244
223 221 09:39:56.402939 track 552 245
224 222 09:39:56.540858 track 552 245
225 223 09:39:56.678137 track 552 244
226 224 09:39:56.815864 track 552 244
227 225 09:39:56.975572 track 559 239
228 226 09:39:57.113691 track 557 239
229 227 09:39:57.251558 track 553 240
230 228 09:39:57.388905 track 550 237
231 229 09:39:57.526547 track 549 234
232 230 09:39:57.664147 track 547 233
233 231 09:39:57.846761 track 546 233
234 232 09:39:57.984352 track 544 231
235 233 09:39:58.144268 track 545 229
236 234 09:39:58.282128 track 548 228
237 235 09:39:58.419808 track 546 229
238 236 09:39:58.557515 track 545 230
239 237 09:39:58.694598 track 547 229
240 238 09:39:58.832367 track 547 230
241 239 09:39:58.969837 track 546 231
242 240 09:39:59.152679 track 547 232
243 241 09:39:59.289989 track 546 232
244 242 09:39:59.427557 track 547 235
245 243 09:39:59.565314 track 546 243
246 244 09:39:59.702841 track 544 247
247 245 09:39:59.840246 track 543 251
248 246 09:40:00.000121 track 543 252
249 247 09:40:00.161065 track 543 253
250 248 09:40:00.298733 track 542 249
251 249 09:40:00.436150 track 543 251
252 250 09:40:00.618503 track 543 252
253 251 09:40:00.756586 track 544 253
254 252 09:40:00.893801 track 546 254
255 253 09:40:01.031321 track 547 254
256 254 09:40:01.191107 track 548 254
257 255 09:40:01.352000 track 555 256
258 256 09:40:01.535083 track 552 254
259 257 09:40:01.694910 track 552 254
260 258 09:40:01.833597 track 548 254
261 259 09:40:01.992957 track 554 253
262 260 09:40:02.130848 track 554 252
263 261 09:40:02.267822 track 554 251
264 262 09:40:02.405476 track 552 250
265 263 09:40:02.542798 track 551 249
266 264 09:40:02.680128 track 547 250
267 265 09:40:02.817535 track 549 248
268 266 09:40:02.977496 track 549 244
269 267 09:40:03.115332 track 547 244
270 268 09:40:03.252802 track 548 237
271 269 09:40:03.389987 track 546 222
272 270 09:40:03.527630 track 542 216
273 271 09:40:03.687301 track 530 210
274 272 09:40:03.847899 track 521 208
275 273 09:40:04.007723 track 514 209
276 274 09:40:04.168074 track 507 209
277 275 09:40:04.328647 track 503 211
278 276 09:40:04.488778 track 499 212
279 277 09:40:04.626623 track 498 213
280 278 09:40:04.785878 track 490 215
281 279 09:40:04.923851 track 491 215
282 280 09:40:05.060946 track 488 216
283 281 09:40:05.221136 track 481 218
284 282 09:40:05.426568 track 484 218
285 283 09:40:05.564358 track 490 219
286 284 09:40:05.702146 track 482 220
287 285 09:40:05.839305 track 486 220
288 286 09:40:05.999836 track 481 220
289 287 09:40:06.159548 track 482 221
290 288 09:40:06.297358 track 486 221
291 289 09:40:06.434431 track 483 222
292 290 09:40:06.616945 track 475 226
293 291 09:40:06.777389 track 470 228
294 292 09:40:06.914954 track 461 231
295 293 09:40:07.052417 track 457 232
296 294 09:40:07.189937 track 449 235
297 295 09:40:07.327052 track 438 236
298 296 09:40:07.464403 track 420 238
299 297 09:40:07.601760 track 412 238
300 298 09:40:07.761087 track 398 236
301 299 09:40:07.921132 track 382 235
302 300 09:40:08.081777 track 368 234
303 301 09:40:08.219065 track 348 232
304 302 09:40:08.379394 track 329 229
305 303 09:40:08.516806 track 313 228
306 304 09:40:08.654289 track 294 225
307 305 09:40:08.791683 track 275 225
308 306 09:40:08.928789 track 258 227
309 307 09:40:09.066375 track 237 229
310 308 09:40:09.203764 track 223 230
311 309 09:40:09.341145 track 209 232
312 310 09:40:09.478596 track 196 233
313 1 09:40:10.038326 feed left
314 311 09:40:10.159871 track 183 234
315 312 09:40:10.341502 track 172 235
316 313 09:40:10.501486 track 160 235
317 314 09:40:10.638828 track 147 236
318 315 09:40:10.798960 track 93 235
319 316 09:40:10.959182 track 82 234
320 317 09:40:11.119604 track 74 233
321 318 09:40:11.280270 track 65 233
322 319 09:40:11.440381 track 58 233
323 320 09:40:11.623511 track 50 234
324 321 09:40:11.783602 track 42 234
325 322 09:40:11.971297 track 38 234
326 323 09:40:12.134788 track 37 235
327 324 09:40:12.298181 track 35 235
328 325 09:40:12.461240 track 36 236
329 326 09:40:12.647590 track 35 236
330 327 09:40:12.810748 track 39 237
331 328 09:40:12.973808 track 39 237
332 329 09:40:13.114767 track 39 238
333 330 09:40:13.255228 track 35 240
334 331 09:40:13.395454 track 34 241
335 332 09:40:13.535624 track 37 242
336 333 09:40:13.698136 track 37 241
337 334 09:40:13.861498 track 36 240
338 335 09:40:14.002094 track 34 238
339 336 09:40:14.142921 track 40 239
340 337 09:40:14.283061 track 38 238
341 338 09:40:14.446061 track 37 236
342 339 09:40:14.585922 track 37 234
343 340 09:40:14.748978 track 35 227
344 341 09:40:14.888995 track 36 224
345 342 09:40:15.052019 track 37 220
346 343 09:40:15.191741 track 38 219
347 344 09:40:15.331912 track 40 219
348 345 09:40:15.472115 track 47 212
349 346 09:40:15.611922 track 53 210
350 347 09:40:15.797212 track 61 206
351 348 09:40:15.938021 track 68 206
352 349 09:40:16.077925 track 75 206
353 350 09:40:16.217616 track 82 207
354 351 09:40:16.357729 track 93 208
355 352 09:40:16.520643 track 108 214
356 353 09:40:16.683961 track 120 217
357 354 09:40:16.824559 track 132 219
358 355 09:40:16.964719 track 143 221
359 356 09:40:17.104812 track 152 223
360 357 09:40:17.244606 track 163 225
361 358 09:40:17.384817 track 172 229
362 359 09:40:17.547613 track 187 238
363 360 09:40:17.711549 track 202 245
364 361 09:40:17.851430 track 214 248
365 362 09:40:17.991491 track 228 250
366 363 09:40:18.131556 track 242 252
367 364 09:40:18.271456 track 257 254
368 365 09:40:18.434562 track 271 255
369 366 09:40:18.574934 track 285 257
370 367 09:40:18.714985 track 299 257
371 368 09:40:18.855831 track 313 257
372 369 09:40:18.995371 track 326 256
373 370 09:40:19.135421 track 345 255
374 371 09:40:19.297956 track 356 253
375 372 09:40:19.461857 track 392 250
376 373 09:40:19.602338 track 401 249
377 1 09:40:20.162189 feed right
378 374 09:40:20.334522 track 413 248
379 375 09:40:20.474971 track 426 248
380 376 09:40:20.614852 track 442 248
381 377 09:40:20.777924 track 458 248
382 378 09:40:20.917841 track 511 250
383 379 09:40:21.058035 track 524 250
384 380 09:40:21.243948 track 532 250
385 381 09:40:21.384601 track 533 249
386 382 09:40:21.547621 track 544 245
387 383 09:40:21.687797 track 544 244
388 384 09:40:21.827561 track 547 243
389 385 09:40:22.012979 track 548 243
390 386 09:40:22.176386 track 552 241
391 387 09:40:22.339261 track 550 241
392 388 09:40:22.503035 track 558 236
393 389 09:40:22.643437 track 556 237
394 390 09:40:22.783676 track 555 237
395 391 09:40:22.969254 track 556 235
396 392 09:40:23.109402 track 558 233
397 393 09:40:23.249524 track 557 232
398 394 09:40:23.389723 track 558 231
399 395 09:40:23.552359 track 558 229
400 396 09:40:23.715543 track 558 228
401 397 09:40:23.856244 track 559 225
402 398 09:40:23.996830 track 558 221
403 399 09:40:24.137131 track 555 220
404 400 09:40:24.277323 track 544 217
405 401 09:40:24.439729 track 537 216
406 402 09:40:24.580076 track 529 219
407 403 09:40:24.742622 track 519 224
408 404 09:40:24.905972 track 510 228
409 405 09:40:25.045954 track 501 232
410 406 09:40:25.185998 track 490 236
411 407 09:40:25.348568 track 481 239
412 408 09:40:25.489681 track 472 240
413 409 09:40:25.652364 track 464 239
414 410 09:40:25.792697 track 466 239
415 411 09:40:25.932720 track 464 239
416 412 09:40:26.072504 track 463 238
417 413 09:40:26.212134 track 464 239
418 414 09:40:26.374877 track 462 237
419 415 09:40:26.515192 track 461 234
420 416 09:40:26.655494 track 462 234
421 417 09:40:26.795356 track 461 232
422 418 09:40:26.935716 track 461 233
423 419 09:40:27.075545 track 461 234
424 420 09:40:27.215259 track 461 233
425 421 09:40:27.355493 track 461 231
426 422 09:40:27.495721 track 464 230
427 423 09:40:27.635054 track 466 230
428 424 09:40:27.820902 track 469 228
429 425 09:40:27.984009 track 473 227
430 426 09:40:28.147028 track 481 225
431 427 09:40:28.287625 track 484 225
432 428 09:40:28.450261 track 491 223
433 429 09:40:28.590649 track 497 221
434 430 09:40:28.730272 track 499 221
435 431 09:40:28.893275 track 511 217
436 432 09:40:29.033204 track 513 217
437 433 09:40:29.173194 track 523 215
438 434 09:40:29.313212 track 525 214
439 435 09:40:29.454306 track 527 213
440 436 09:40:29.618026 track 535 212
441 437 09:40:29.780911 track 539 211
442 438 09:40:29.921494 track 542 211
443 439 09:40:30.084379 track 543 211
444 440 09:40:30.224873 track 544 211
445 441 09:40:30.365091 track 546 212
446 442 09:40:30.504751 track 547 212
447 443 09:40:30.645046 track 549 211
448 444 09:40:30.784467 track 553 211
449 445 09:40:30.924244 track 555 210
450 446 09:40:31.064593 track 554 211
451 447 09:40:31.204147 track 556 212
452 448 09:40:31.344231 track 556 213
453 449 09:40:31.485406 track 559 213
454 450 09:40:31.626725 track 561 214
455 451 09:40:31.767655 track 563 216
456 452 09:40:31.907917 track 564 218
457 453 09:40:32.047505 track 564 220
458 454 09:40:32.187109 track 564 222
459 455 09:40:32.327228 track 564 223
460 456 09:40:32.467177 track 564 227
461 457 09:40:32.629866 track 564 232
462 458 09:40:32.769792 track 562 235
463 459 09:40:32.909917 track 563 236
464 460 09:40:33.049907 track 564 241
465 461 09:40:33.189767 track 563 238
466 462 09:40:33.330128 track 562 242
467 463 09:40:33.492677 track 563 246
468 464 09:40:33.633015 track 561 246
469 465 09:40:33.772941 track 560 251
470 466 09:40:33.912753 track 559 252
471 467 09:40:34.052779 track 556 255
472 468 09:40:34.192751 track 549 261
473 469 09:40:34.332630 track 550 257
474 470 09:40:34.472434 track 544 260
475 471 09:40:34.612317 track 534 261
476 472 09:40:34.774833 track 521 259
477 473 09:40:34.914969 track 513 255
478 474 09:40:35.077370 track 498 249
479 475 09:40:35.240047 track 488 246
480 476 09:40:35.403350 track 478 242
481 477 09:40:35.566344 track 467 238
482 478 09:40:35.728894 track 457 235
483 479 09:40:35.892379 track 448 232
484 480 09:40:36.055413 track 436 229
485 481 09:40:36.218301 track 427 229
486 482 09:40:36.381868 track 417 229
487 483 09:40:36.522118 track 403 228
488 484 09:40:36.662146 track 389 226
489 485 09:40:36.802238 track 371 225
490 486 09:40:36.941937 track 350 222
491 487 09:40:37.081614 track 326 221
492 488 09:40:37.221645 track 308 219
493 489 09:40:37.361298 track 291 220
494 490 09:40:37.501181 track 267 221
495 491 09:40:37.640975 track 248 223
496 492 09:40:37.780403 track 230 224
497 493 09:40:37.920146 track 214 225
498 494 09:40:38.060049 track 198 227
499 2 09:40:38.629892 feed left
500 495 09:40:38.786209 track 183 228
501 496 09:40:38.952608 track 168 229
502 497 09:40:39.092257 track 153 231
503 498 09:40:39.232209 track 140 233
504 499 09:40:39.372209 track 88 242
505 500 09:40:39.512006 track 76 245
506 501 09:40:39.651970 track 66 247
507 502 09:40:39.791994 track 61 248
508 503 09:40:39.954549 track 54 249
509 504 09:40:40.095227 track 50 249
510 505 09:40:40.235059 track 46 249
511 506 09:40:40.420862 track 43 247
512 507 09:40:40.607674 track 39 243
513 508 09:40:40.771143 track 36 240
514 509 09:40:40.911121 track 41 243
515 510 09:40:41.074705 track 48 248
516 511 09:40:41.214495 track 50 250
517 512 09:40:41.377703 track 35 241
518 513 09:40:41.517921 track 34 240
519 514 09:40:41.680575 track 34 240
520 515 09:40:41.820716 track 34 240
521 516 09:40:41.983638 track 34 241
522 517 09:40:42.146155 track 35 239
523 518 09:40:42.309391 track 34 231
524 519 09:40:42.472971 track 37 232
525 520 09:40:42.636076 track 36 227
526 521 09:40:42.799059 track 34 223
527 522 09:40:42.962414 track 34 218
528 523 09:40:43.102510 track 32 214
529 524 09:40:43.242893 track 31 214
530 525 09:40:43.405795 track 32 218
531 526 09:40:43.546389 track 34 219
532 527 09:40:43.686445 track 38 223
533 528 09:40:43.826353 track 40 222
534 529 09:40:43.989043 track 38 221
535 530 09:40:44.152247 track 40 225
536 531 09:40:44.315520 track 40 232
537 532 09:40:44.456093 track 41 240
538 533 09:40:44.596069 track 42 247
539 534 09:40:44.781867 track 49 257
540 535 09:40:44.944500 track 58 261
541 536 09:40:45.107288 track 67 264
542 537 09:40:45.248041 track 77 265
543 538 09:40:45.388052 track 87 264
544 539 09:40:45.527896 track 100 262
545 540 09:40:45.690774 track 118 255
546 541 09:40:45.830612 track 132 248
547 542 09:40:45.993419 track 144 243
548 543 09:40:46.133337 track 156 238
549 544 09:40:46.273254 track 167 236
550 545 09:40:46.413260 track 187 232
551 546 09:40:46.599277 track 202 233
552 547 09:40:46.739545 track 222 233
553 548 09:40:46.879498 track 236 232
554 549 09:40:47.019563 track 254 233
555 550 09:40:47.159393 track 271 231
556 551 09:40:47.299681 track 292 231
557 552 09:40:47.439862 track 312 231
558 553 09:40:47.579578 track 330 232
559 554 09:40:47.719507 track 349 232
560 555 09:40:47.859356 track 367 232
561 556 09:40:47.999095 track 385 232
562 557 09:40:48.138912 track 402 233
563 2 09:40:48.709157 feed right
564 558 09:40:48.897930 track 422 232
565 559 09:40:49.038663 track 437 232
566 560 09:40:49.178623 track 450 232
567 561 09:40:49.341354 track 464 232
568 562 09:40:49.481979 track 516 231
569 563 09:40:49.644503 track 531 231
570 564 09:40:49.807534 track 537 231
571 565 09:40:49.970718 track 545 231
572 566 09:40:50.133432 track 551 231
573 567 09:40:50.296806 track 554 231
574 568 09:40:50.460950 track 562 231
575 569 09:40:50.623948 track 562 231
576 570 09:40:50.764639 track 562 231
577 571 09:40:50.904201 track 560 232
578 572 09:40:51.067093 track 560 232
579 573 09:40:51.229697 track 560 232
580 574 09:40:51.369987 track 554 232
581 575 09:40:51.509754 track 553 233
582 576 09:40:51.649906 track 549 234
583 577 09:40:51.789780 track 547 234
584 578 09:40:51.929361 track 548 234
585 579 09:40:52.069042 track 545 236
586 580 09:40:52.208895 track 548 236
587 581 09:40:52.372009 track 548 237
588 582 09:40:52.535165 track 554 237
589 583 09:40:52.698501 track 548 236
590 584 09:40:52.838378 track 553 237
591 585 09:40:53.001323 track 554 238
592 586 09:40:53.164253 track 556 238
593 587 09:40:53.327295 track 557 238
594 588 09:40:53.468287 track 553 238
595 589 09:40:53.608673 track 553 238
596 590 09:40:53.748443 track 552 238
597 591 09:40:53.888272 track 555 237
598 592 09:40:54.051093 track 555 237
599 593 09:40:54.214272 track 551 238
600 594 09:40:54.377072 track 552 238
601 595 09:40:54.539976 track 551 238
602 596 09:40:54.680611 track 551 238
603 597 09:40:54.820587 track 552 238
604 598 09:40:54.960209 track 552 237
605 599 09:40:55.123024 track 558 241
606 600 09:40:55.286064 track 559 241
607 601 09:40:55.426596 track 558 241
608 602 09:40:55.566617 track 559 241
609 603 09:40:55.706601 track 559 241
610 604 09:40:55.846782 track 559 243
611 605 09:40:55.986382 track 559 244
612 606 09:40:56.149434 track 559 243
613 607 09:40:56.289654 track 556 240
614 608 09:40:56.429513 track 553 240
615 609 09:40:56.592190 track 553 242
616 610 09:40:56.732744 track 553 243
617 611 09:40:56.872784 track 553 242
618 612 09:40:57.012690 track 554 243
619 613 09:40:57.152520 track 555 245
620 614 09:40:57.315032 track 553 242
621 615 09:40:57.501327 track 556 246
622 616 09:40:57.641957 track 556 246
623 617 09:40:57.781969 track 554 246
624 618 09:40:57.921763 track 552 244
625 619 09:40:58.084278 track 551 249
626 620 09:40:58.247361 track 547 256
627 621 09:40:58.388125 track 546 257
628 622 09:40:58.550671 track 540 263
629 623 09:40:58.713994 track 534 265
630 624 09:40:58.854741 track 531 266
631 625 09:40:59.017159 track 525 264
632 626 09:40:59.157701 track 521 263
633 627 09:40:59.298022 track 511 263
634 628 09:40:59.437737 track 501 260
635 629 09:40:59.577916 track 491 258
636 630 09:40:59.740796 track 475 255
637 631 09:40:59.881286 track 465 253
638 632 09:41:00.043716 track 454 251
639 633 09:41:00.184176 track 446 250
640 634 09:41:00.347026 track 439 247
641 635 09:41:00.487045 track 420 238
642 636 09:41:00.627414 track 411 235
643 637 09:41:00.767047 track 390 225
644 638 09:41:00.929851 track 375 221
645 639 09:41:01.069892 track 357 216
646 640 09:41:01.210040 track 341 214
647 641 09:41:01.349918 track 326 210
648 642 09:41:01.489383 track 310 210
649 643 09:41:01.629099 track 290 209
650 644 09:41:01.768955 track 275 210
651 645 09:41:01.931183 track 255 211
652 646 09:41:02.071695 track 237 213
653 647 09:41:02.211773 track 222 216
654 648 09:41:02.374944 track 207 217
655 649 09:41:02.538245 track 193 218
656 3 09:41:03.099011 feed left
657 650 09:41:03.249806 track 176 220
658 651 09:41:03.412281 track 164 221
659 652 09:41:03.553099 track 150 221
660 653 09:41:03.692597 track 134 222
661 654 09:41:03.832561 track 76 226
662 655 09:41:03.972713 track 65 226
663 656 09:41:04.112221 track 54 226
664 657 09:41:04.275264 track 49 225
665 658 09:41:04.438454 track 45 222
666 659 09:41:04.601083 track 44 217
667 660 09:41:04.787630 track 45 217
668 661 09:41:04.927781 track 45 218
669 662 09:41:05.067558 track 51 215
670 663 09:41:05.207661 track 58 211
671 664 09:41:05.370606 track 68 207
672 665 09:41:05.510550 track 82 204
673 666 09:41:05.650273 track 93 204
674 667 09:41:05.812725 track 109 203
675 668 09:41:05.953292 track 124 204
676 669 09:41:06.115504 track 145 205
677 670 09:41:06.256039 track 160 208
678 671 09:41:06.396135 track 173 209
679 672 09:41:06.558826 track 192 214
680 673 09:41:06.699132 track 207 217
681 674 09:41:06.861659 track 226 222
682 675 09:41:07.002049 track 241 227
683 676 09:41:07.141837 track 257 232
684 677 09:41:07.281652 track 274 238
685 678 09:41:07.444335 track 288 240
686 679 09:41:07.584596 track 308 245
687 680 09:41:07.747195 track 324 247
688 681 09:41:07.887440 track 339 250
689 682 09:41:08.027299 track 350 252
690 683 09:41:08.166910 track 359 252
691 684 09:41:08.307220 track 396 253
692 685 09:41:08.447199 track 412 252
693 3 09:41:41.007447 feed right
694 686 09:41:41.217015 track 429 252
695 687 09:41:41.357445 track 443 251
696 688 09:41:41.497274 track 455 251
697 689 09:41:41.637134 track 468 251
698 690 09:41:41.822991 track 521 251
699 691 09:41:41.963557 track 537 253
700 692 09:41:42.126086 track 544 254
701 693 09:41:42.288936 track 549 255
702 694 09:41:42.452686 track 552 256
703 695 09:41:42.592893 track 553 257
704 696 09:41:42.755587 track 556 258
705 697 09:41:42.895608 track 553 257
706 698 09:41:43.058831 track 554 256
707 699 09:41:43.199465 track 549 254
708 700 09:41:43.339526 track 548 254
709 701 09:41:43.479440 track 550 255
710 702 09:41:43.665332 track 553 256
711 703 09:41:43.828172 track 556 255
712 704 09:41:43.968595 track 555 257
713 705 09:41:44.108437 track 556 255
714 706 09:41:44.271300 track 556 251
715 707 09:41:44.411273 track 554 249
716 708 09:41:44.551605 track 553 250
717 709 09:41:44.691713 track 553 248
718 710 09:41:44.854541 track 554 246
719 711 09:41:45.017564 track 554 242
720 712 09:41:45.158410 track 553 244
721 713 09:41:45.298415 track 551 238
722 714 09:41:45.438183 track 549 234
723 715 09:41:45.578351 track 544 227
724 716 09:41:45.718451 track 543 225
725 717 09:41:45.904507 track 539 219
726 718 09:41:46.044836 track 535 219
727 719 09:41:46.185157 track 524 221
728 720 09:41:46.325237 track 517 223
729 721 09:41:46.487755 track 507 226
730 722 09:41:46.628162 track 494 231
731 723 09:41:46.790357 track 485 233
732 724 09:41:46.930815 track 477 235
733 725 09:41:47.070358 track 469 235
734 726 09:41:47.233292 track 457 236
735 727 09:41:47.396448 track 445 237
736 728 09:41:47.537346 track 431 235
